City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Xiaoweizhai,CN,2021-09-24 20:52:35,26.1903,107.5125,67.64,97,52,3.98
114,Sarahan,IN,2021-09-24 20:52:35,31.5167,77.8,58.08,82,1,3.65
115,Ribeira Grande,PT,2021-09-24 20:52:35,38.5167,-28.7,72.0,78,40,14.97
116,Chama,CH,2021-09-24 20:52:35,47.1821,8.4636,62.04,94,0,0.0
117,Lukovetskiy,RU,2021-09-24 20:52:36,64.2956,41.9211,49.98,94,100,8.7
118,Esperance,AU,2021-09-24 20:52:36,-33.8667,121.9,44.44,85,47,11.21
119,Quatre Cocos,MU,2021-09-24 20:52:36,-20.2078,57.7625,71.71,81,8,15.84
120,Vila Velha,BR,2021-09-24 20:51:34,-20.3297,-40.2925,71.55,64,75,11.5
121,Menongue,AO,2021-09-24 20:52:36,-14.6585,17.691,67.39,19,4,5.59
122,Lagoa,PT,2021-09-24 20:52:37,39.05,-27.9833,70.38,75,100,15.57
123,Omboue,GA,2021-09-24 20:48:54,-1.5746,9.2618,76.42,87,63,6.87
124,Raudeberg,NO,2021-09-24 20:52:37,61.9875,5.1352,51.4,95,81,14.0
125,Pacific Grove,US,2021-09-24 20:47:37,36.6177,-121.9166,90.61,83,1,3.0
126,Chernyanka,RU,2021-09-24 20:52:37,50.9409,37.8069,47.12,89,100,13.98
127,Pangnirtung,CA,2021-09-24 20:52:37,66.1451,-65.7125,37.4,65,20,5.75
128,Atkinson,US,2021-09-24 20:51:28,42.8384,-71.147,76.51,85,90,1.99
129,Barrow,US,2021-09-24 20:52:38,71.2906,-156.7887,26.62,80,90,5.75
130,Ust-Maya,RU,2021-09-24 20:52:38,60.4167,134.5333,41.97,92,100,5.12
131,Souillac,MU,2021-09-24 20:50:46,-20.5167,57.5167,71.98,83,40,11.5
132,Avarua,CK,2021-09-24 20:52:38,-21.2078,-159.775,77.05,53,91,10.36
133,Verkhnevilyuysk,RU,2021-09-24 20:52:38,63.4453,120.3167,31.37,88,15,3.87
134,Bethel,US,2021-09-24 20:52:39,41.3712,-73.414,73.92,59,1,4.61
135,Riyadh,SA,2021-09-24 20:47:40,24.6877,46.7219,87.94,12,12,8.05
136,Berdigestyakh,RU,2021-09-24 20:52:39,62.0989,126.6992,35.47,93,86,7.96
137,George Town,MY,2021-09-24 20:52:39,5.4112,100.3354,81.9,91,20,1.01
138,Fare,PF,2021-09-24 20:52:40,-16.7,-151.0167,76.6,62,0,2.8
139,Oksfjord,NO,2021-09-24 20:52:40,70.2396,22.3479,49.12,94,100,10.22
140,Qasigiannguit,GL,2021-09-24 20:52:40,68.8193,-51.1922,16.52,85,63,2.84
141,Coxim,BR,2021-09-24 20:50:48,-18.5067,-54.76,98.91,16,16,3.53
